#{"t_start": 1760973612.715055, "env_id": "Pendulum-v1"}
r,l,t
-1172.112028,200,42.460908
-1808.586814,200,42.610652
-1210.182486,200,42.931118
-1285.708782,200,43.242496
-938.172345,200,43.569342
-1836.883456,200,43.872581
-874.86929,200,43.999652
-1170.214268,200,44.295481
-1576.394205,200,44.601305
-951.444605,200,44.915184
-885.766721,200,45.075937
-1270.058069,200,45.365192
-1479.685888,200,45.667735
-1076.010783,200,45.980978
-898.937035,200,46.292396
-980.531016,200,46.434253
-985.995173,200,46.742663
-1074.421849,200,47.033871
-1064.929905,200,47.339466
-1708.264335,200,47.624873
-914.056147,200,47.772285
-906.611346,200,48.067362
-971.922706,200,48.379353
-1060.147827,200,48.691841
-977.506841,200,48.841341
-908.27398,200,49.154969
-1587.913064,200,49.476589
-959.529333,200,49.772881
-1257.051358,200,50.116102
-1603.240328,200,50.251377
-1539.994915,200,50.535975
-1249.678079,200,50.820088
-1110.768227,200,51.136445
-864.795286,200,51.261457
-1369.481905,200,51.564441
-811.601428,200,51.872876
-1400.442704,200,52.185985
-1704.390719,200,52.482814
-1215.243342,200,52.617244
-1613.595725,200,52.933398
-895.842388,200,53.249827
-1709.032875,200,53.551655
-991.371702,200,53.678194
-873.260932,200,53.992368
-1459.683086,200,54.318314
-1737.014442,200,54.639277
-972.356496,200,54.934449
-1317.920759,200,55.078951
-903.477407,200,55.388302
-1517.911134,200,55.69652
-1009.870902,200,56.017238
-1010.609145,200,56.328638
-1070.578397,200,56.467869
-769.091202,200,56.764132
-1579.35103,200,57.073069
-973.450933,200,57.367085
-1428.645542,200,57.49397
-1306.177406,200,57.818464
-1604.64774,200,58.118344
-1209.194724,200,58.441915
-1463.452531,200,58.755924
-903.799212,200,58.91091
-931.111607,200,59.226861
-1107.633718,200,59.528426
-778.455209,200,59.848498
-1400.628203,200,59.972527
-1737.509779,200,60.286985
-994.083208,200,60.59305
-1664.656966,200,60.955667
-1142.69469,200,61.303166
-795.537615,200,61.444831
-958.567109,200,61.785544
-907.589306,200,62.129825
-980.462947,200,62.498544
-763.525081,200,62.653544
-895.879592,200,63.12749
-1340.243469,200,63.604934
-1651.249576,200,63.965712
-1169.444954,200,64.310932
-879.233612,200,64.480011
-962.716606,200,64.796246
-1251.953084,200,65.15746
-1607.840663,200,65.557734
-1584.843749,200,65.903259
-1545.856898,200,66.071043
-872.615422,200,66.400714
-1148.173583,200,66.749053
